lga_code,lga_name,state,population_2024,births_2024,tfr_2024
49799,Migratory - Offshore - Shipping (SA),SA,N/P,N/P,N/P
50080,Albany,WA,41545,402,1.86
50210,Armadale,WA,109218,1454,1.88
50250,Ashburton,WA,8179,112,1.83
50280,Augusta Margaret River,WA,19410,176,1.63
50350,Bassendean,WA,17145,180,1.49
50420,Bayswater,WA,75981,861,1.37
50490,Belmont,WA,47377,504,1.31
50560,Beverley,WA,1795,11,1.95
50630,Boddington,WA,1808,28,2.42
50770,Boyup Brook,WA,1959,13,1.70
50840,Bridgetown-Greenbushes,WA,5797,47,1.86
50910,Brookton,WA,962,13,N/P
50980,Broome,WA,18870,243,1.64
51080,Broomehill-Tambellup,WA,1101,20,N/P
51120,Bruce Rock,WA,1066,11,N/P
51190,Bunbury,WA,35174,317,1.60
51260,Busselton,WA,45003,382,1.81
51310,Cambridge,WA,32006,174,1.12
51330,Canning,WA,106944,936,1.26
51400,Capel,WA,19701,186,1.71
51470,Carnamah,WA,586,11,N/P
51540,Carnarvon,WA,5599,59,2.07
51610,Chapman Valley,WA,1698,15,1.83
51680,Chittering,WA,6753,74,2.22
51710,Christmas Island,OT,1865,7,N/P
51750,Claremont,WA,12671,78,1.20
51820,Cockburn,WA,135149,1530,1.56
51860,Cocos (Keeling) Islands,WA,625,0,N/P
51890,Collie,WA,9408,103,2.01
51960,Coolgardie,WA,3779,48,2.39
52030,Coorow,WA,1125,8,N/P
52100,Corrigin,WA,1039,12,N/P
52170,Cottesloe,WA,8967,56,1.34
52240,Cranbrook,WA,1152,9,N/P
